Feature,Coefficient,Absolute
composite_key_Senior_Male_Normal_Never_No,0.022856797566998877,0.022856797566998877
composite_key_Young_Female_Overweight_Current_No,0.021896940921083907,0.021896940921083907
composite_key_Middle_Male_Normal_Current_No,-0.021847392410278388,0.021847392410278388
cholesterol,-0.02180095129271531,0.02180095129271531
composite_key_Middle_Female_Underweight_Former_Yes,-0.02049124265443876,0.02049124265443876
composite_key_Middle_Female_Underweight_Never_Yes,0.020191823065377312,0.020191823065377312
composite_key_Middle_Female_Obese_Current_No,-0.01897589503538398,0.01897589503538398
composite_key_Young_Male_Underweight_Former_Yes,-0.01740015873579015,0.01740015873579015
composite_key_Young_Male_Underweight_Current_Yes,-0.015511577861929055,0.015511577861929055
composite_key_Middle_Female_Obese_Current_Yes,-0.015294212356185638,0.015294212356185638
composite_key_Young_Female_Overweight_Former_Yes,0.013763926975839127,0.013763926975839127
HbA1c_level,0.01301393859072758,0.01301393859072758
sublabel_DI_HY,0.012640089374160113,0.012640089374160113
"disease_flags_1,0,1",0.012640089374159169,0.012640089374159169
composite_key_Middle_Male_Underweight_Never_No,-0.010881212653474998,0.010881212653474998
composite_key_Young_Male_Overweight_Former_Yes,-0.010289332671468643,0.010289332671468643
composite_key_Senior_Male_Underweight_Former_Yes,-0.009820835365257574,0.009820835365257574
composite_key_Mature_Male_Obese_Current_No,0.00883522198575551,0.00883522198575551
composite_key_Senior_Female_Overweight_Current_Yes,-0.007121880220121245,0.007121880220121245
systolic_bp,-0.0027702294153553186,0.0027702294153553186
composite_key_Mature_Female_Normal_Never_Yes,0.0024306943535086223,0.0024306943535086223
education_level_Tertiary,-0.001348378943005657,0.001348378943005657
composite_key_Middle_Female_Underweight_Current_No,-0.00026396413668233754,0.00026396413668233754
