Feature,Coefficient,Absolute
composite_key_Senior_Female_Obese_Current_No,0.07468671244117461,0.07468671244117461
composite_key_Mature_Male_Normal_Never_No,-0.07398339270490549,0.07398339270490549
composite_key_Mature_Male_Underweight_Former_Yes,0.07150113598067911,0.07150113598067911
composite_key_Young_Female_Underweight_Current_Yes,0.07129629511319759,0.07129629511319759
composite_key_Middle_Female_Overweight_Never_Yes,0.067571890204841,0.067571890204841
blood_pressure,-0.06751490252063584,0.06751490252063584
composite_key_Senior_Male_Underweight_Current_No,0.06718221611352711,0.06718221611352711
composite_key_Middle_Female_Overweight_Current_Yes,-0.06717028563904727,0.06717028563904727
gender_Male,-0.06709207347989622,0.06709207347989622
diastolic_bp,0.06492072994871435,0.06492072994871435
composite_key_Senior_Female_Obese_Never_No,-0.06396406796168112,0.06396406796168112
composite_key_Senior_Male_Obese_Current_Yes,0.06274374843435539,0.06274374843435539
composite_key_Mature_Female_Underweight_Current_No,0.061228658759227714,0.061228658759227714
composite_key_Senior_Female_Normal_Current_Yes,0.06060921263926093,0.06060921263926093
composite_key_Middle_Female_Underweight_Former_No,0.06042793481335044,0.06042793481335044
composite_key_Young_Male_Normal_Never_No,0.05865023329081216,0.05865023329081216
composite_key_Senior_Female_Overweight_Current_No,0.058075959441744485,0.058075959441744485
composite_key_Young_Female_Normal_Former_Yes,0.056915208324387595,0.056915208324387595
crp_level,0.05683005995681912,0.05683005995681912
composite_key_Young_Male_Overweight_Current_Yes,0.05517209473425693,0.05517209473425693
composite_key_Young_Male_Obese_Never_Yes,-0.05434218014763856,0.05434218014763856
composite_key_Young_Male_Underweight_Never_Yes,0.052278128505341075,0.052278128505341075
composite_key_Senior_Female_Underweight_Former_Yes,-0.051537952884211403,0.051537952884211403
composite_key_Middle_Male_Overweight_Former_Yes,-0.05119467367591701,0.05119467367591701
composite_key_Mature_Female_Normal_Current_Yes,0.05116899964387874,0.05116899964387874
salt_intake,0.05065434094198251,0.05065434094198251
composite_key_Young_Male_Obese_Former_Yes,0.049860050072688296,0.049860050072688296
composite_key_Young_Female_Overweight_Never_Yes,-0.049544656889939774,0.049544656889939774
composite_key_Senior_Male_Underweight_Former_No,0.04837826957929074,0.04837826957929074
composite_key_Young_Male_Obese_Former_No,0.044768056683127715,0.044768056683127715
composite_key_Mature_Male_Underweight_Current_No,0.042647667472247325,0.042647667472247325
composite_key_Mature_Female_Underweight_Never_No,0.0417766144991892,0.0417766144991892
composite_key_Young_Male_Underweight_Current_No,0.04069133315371444,0.04069133315371444
sleep_hours,-0.04047016719475887,0.04047016719475887
composite_key_Mature_Male_Underweight_Former_No,0.038163852682605644,0.038163852682605644
composite_key_Middle_Male_Underweight_Former_Yes,-0.03798041285025517,0.03798041285025517
composite_key_Senior_Male_Obese_Current_No,0.03779954010641275,0.03779954010641275
composite_key_Middle_Male_Underweight_Current_No,-0.036315314050044636,0.036315314050044636
composite_key_Young_Male_Normal_Former_No,0.03459484660032875,0.03459484660032875
composite_key_Senior_Female_Underweight_Current_No,0.033451598797876604,0.033451598797876604
alcohol_intake,-0.03320108355504432,0.03320108355504432
composite_key_Middle_Female_Normal_Current_No,-0.03055174661204462,0.03055174661204462
composite_key_Mature_Male_Normal_Never_Yes,0.029912118505428322,0.029912118505428322
composite_key_Middle_Male_Underweight_Current_Yes,0.024008668068608886,0.024008668068608886
composite_key_Young_Female_Obese_Never_Yes,0.0239856170290448,0.0239856170290448
composite_key_Senior_Male_Normal_Never_No,0.022867933199795916,0.022867933199795916
composite_key_Young_Female_Overweight_Current_No,0.021911915612069247,0.021911915612069247
composite_key_Middle_Male_Normal_Current_No,-0.021804494342948455,0.021804494342948455
cholesterol,-0.021800482930995416,0.021800482930995416
